t,goal,dataset,task_id,action,adaptive_score,fixed_rc2o_score,delta,retention,cost,stability,action_changed_from_previous
0,Goal_A_accuracy,PermutedMNIST,1,accuracy_specialist,1.6948927125944868,1.6707717140451417,0.02412099854934513,0.9134847923228702,0.6003902465456057,0.8388525136128411,True
1,Goal_B_retention,PermutedMNIST,1,RC2O_static,2.0299771897637373,2.0299771897637373,0.0,0.999,0.5390624998693921,0.9228739470294516,True
2,Goal_C_cost,PermutedMNIST,1,cost_saver,1.9203537100643855,1.7753906966038704,0.1449630134605151,0.9207188062497178,0.3196580026129079,0.8020435203152014,True
3,Goal_D_stability_drift,PermutedMNIST,1,drift_stabilizer,2.3610037744602637,2.2856744624876546,0.07532931197260906,0.999,0.5981466377886823,0.999,True
4,Goal_E_specialization,RotatedMNIST,1,specialization_promoter,1.8896221862635076,1.6756702366155136,0.21395194964799402,0.9614212341178449,0.5895017002180062,0.8820814026873123,True
5,Goal_A_accuracy,RotatedMNIST,1,accuracy_specialist,1.6865566046273885,1.6522653216725054,0.03429128295488315,0.9237504486456933,0.583293002616936,0.8492211614356961,True
6,Goal_B_retention,RotatedMNIST,1,RC2O_static,2.0445579100200364,2.0445579100200364,0.0,0.999,0.538399418755833,0.9409634188507376,True
7,Goal_C_cost,RotatedMNIST,1,cost_saver,1.946311165370368,1.8061774102293693,0.14013375514099868,0.9247899194676963,0.30514161242589694,0.8096739173781877,True
8,Goal_D_stability_drift,SVHNContinual,1,drift_stabilizer,2.351721723850172,2.2644079009543847,0.08731382289578749,0.999,0.6663873195000511,0.999,True
9,Goal_E_specialization,SVHNContinual,1,specialization_promoter,2.0452073891283704,1.791507506089976,0.2536998830383943,0.9441014866055975,0.6969181545957048,0.8756061189732892,True
10,Goal_A_accuracy,SVHNContinual,1,accuracy_specialist,1.5831106582394754,1.554598100284413,0.028512557955062467,0.8998933970166713,0.6904426706721705,0.8406789306428082,True
11,Goal_B_retention,SVHNContinual,1,drift_stabilizer,2.013959169294338,2.011060063531902,0.002899105762435905,0.999,0.672904335384849,0.999,True
12,Goal_C_cost,SplitCIFAR10,1,cost_saver,1.8370611831595305,1.6786776998148487,0.15838348334468177,0.922117548438213,0.37773515555838233,0.8106690045257419,True
