state_id,Goal_A_accuracy,Goal_B_retention,Goal_C_cost,Goal_D_stability_drift,Goal_E_specialization,dataset,task_id,seed,difficulty,drift,retention_pressure,cost_pressure,specialization_need,n_unique_goal_routes
PermutedMNIST_seed0_task1,accuracy_specialist,RC2O_static,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,1,0,0.30620350844740607,0.5252767818175056,0.5003298580041625,0.39079667592747497,0.44182189438722463,5
PermutedMNIST_seed0_task2,accuracy_specialist,drift_stabilizer,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,2,0,0.3142711755917313,0.612701949171781,0.5330519641142752,0.5065051799223501,0.48096093558145175,4
PermutedMNIST_seed0_task3,accuracy_specialist,drift_stabilizer,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,3,0,0.3234725104655376,0.640758142906764,0.5314057959696514,0.5444085068720945,0.47794208042103453,4
PermutedMNIST_seed0_task4,accuracy_specialist,drift_stabilizer,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,4,0,0.32282837326154157,0.6424089713039788,0.532052816126734,0.5340252447673753,0.36541191909343096,4
PermutedMNIST_seed0_task5,accuracy_specialist,drift_stabilizer,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,5,0,0.35678682835845554,0.7131178362041983,0.5830930474536621,0.5943984447707402,0.41900179837778556,4
PermutedMNIST_seed1_task1,accuracy_specialist,RC2O_static,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,1,1,0.3210417234032721,0.5150454782616497,0.4946254982190633,0.3762536837102827,0.44703333662785005,5
PermutedMNIST_seed1_task2,accuracy_specialist,RC2O_static,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,2,1,0.31306995848012326,0.5039710459105972,0.5009038266173627,0.4969106352354117,0.5139940208212204,5
PermutedMNIST_seed1_task3,accuracy_specialist,drift_stabilizer,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,3,1,0.3463406319390595,0.5907726257952066,0.5327731515677512,0.4725150457372488,0.4709169165108234,4
PermutedMNIST_seed1_task4,accuracy_specialist,drift_stabilizer,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,4,1,0.34234954901552295,0.6576161305897169,0.5786080759254457,0.5343438022162803,0.48260954030143677,4
PermutedMNIST_seed1_task5,accuracy_specialist,drift_stabilizer,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,5,1,0.3209297170788323,0.654555480115323,0.5521461113558415,0.5843251734683311,0.480321285346126,4
PermutedMNIST_seed2_task1,accuracy_specialist,drift_stabilizer,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,1,2,0.35564727080584174,0.5196930200663868,0.5310528670180544,0.4328877374827303,0.4748950457832441,4
PermutedMNIST_seed2_task2,accuracy_specialist,RC2O_static,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,2,2,0.2930926218820866,0.538288909866798,0.47181237922283215,0.42558731343906153,0.46164923669534397,5
PermutedMNIST_seed2_task3,accuracy_specialist,RC2O_static,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,3,2,0.3603518485788121,0.5608335648905618,0.5697349258848045,0.5285975825049662,0.4010021556687567,5
PermutedMNIST_seed2_task4,accuracy_specialist,RC2O_static,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,4,2,0.3381023515310466,0.6350835055932001,0.5750952786046599,0.5526345683387371,0.5301728148520302,5
PermutedMNIST_seed2_task5,accuracy_specialist,drift_stabilizer,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,5,2,0.3313433139057956,0.7452047422217002,0.6080564239666443,0.5906853038024131,0.43953071997894394,4
PermutedMNIST_seed3_task1,accuracy_specialist,RC2O_static,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,1,3,0.33820233143031536,0.47705112182143433,0.5320313038262525,0.39011132638679985,0.4431487645799913,5
PermutedMNIST_seed3_task2,accuracy_specialist,drift_stabilizer,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,2,3,0.3163806725460198,0.5385106474188486,0.48647631698650673,0.4999662612562959,0.4528345448482969,4
PermutedMNIST_seed3_task3,accuracy_specialist,RC2O_static,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,3,3,0.34279688810331904,0.577326445043787,0.5261246923527113,0.4804510033862693,0.47298241903196353,5
PermutedMNIST_seed3_task4,accuracy_specialist,drift_stabilizer,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,4,3,0.3165708272487415,0.6624530778215765,0.5363207462165485,0.5213040345215337,0.48328901683844755,4
PermutedMNIST_seed3_task5,accuracy_specialist,drift_stabilizer,cost_saver,drift_stabilizer,specialization_promoter,PermutedMNIST,5,3,0.32596861601809224,0.7023007379586476,0.5412449131739672,0.6181700482645692,0.4607824695332994,4
RotatedMNIST_seed0_task1,accuracy_specialist,RC2O_static,cost_saver,drift_stabilizer,specialization_promoter,RotatedMNIST,1,0,0.3146463308271441,0.4499043764199615,0.46608603500679896,0.38304810754680935,0.5089663714789666,5
RotatedMNIST_seed0_task2,accuracy_specialist,RC2O_static,cost_saver,drift_stabilizer,specialization_promoter,RotatedMNIST,2,0,0.30585475540657026,0.47873358958863993,0.47270523306366846,0.3567686524257889,0.5346692773775623,5
RotatedMNIST_seed0_task3,accuracy_specialist,drift_stabilizer,cost_saver,drift_stabilizer,specialization_promoter,RotatedMNIST,3,0,0.29555749646793283,0.5643342902529968,0.5297858529819985,0.4284624317107788,0.5499321099797583,4
RotatedMNIST_seed0_task4,accuracy_specialist,drift_stabilizer,cost_saver,drift_stabilizer,specialization_promoter,RotatedMNIST,4,0,0.316903101454213,0.5559602735186167,0.4864588889082124,0.6036367545600482,0.5120282468618095,4
RotatedMNIST_seed0_task5,accuracy_specialist,drift_stabilizer,cost_saver,drift_stabilizer,specialization_promoter,RotatedMNIST,5,0,0.3389213900699279,0.6149772522652208,0.5507819143121175,0.6270009190222688,0.4830783468026229,4
RotatedMNIST_seed1_task1,accuracy_specialist,RC2O_static,cost_saver,drift_stabilizer,specialization_promoter,RotatedMNIST,1,1,0.2906920235384069,0.42585316826160313,0.42793214578729544,0.3817029377995565,0.469784728151274,5
RotatedMNIST_seed1_task2,accuracy_specialist,drift_stabilizer,cost_saver,drift_stabilizer,specialization_promoter,RotatedMNIST,2,1,0.3265682319593292,0.5441066649648169,0.5538402914421798,0.4996565756466801,0.5012156463283127,4
RotatedMNIST_seed1_task3,accuracy_specialist,RC2O_static,cost_saver,drift_stabilizer,specialization_promoter,RotatedMNIST,3,1,0.32670573425184485,0.4869325951830318,0.4963206837439743,0.5159352054760277,0.6044239330605587,5
RotatedMNIST_seed1_task4,accuracy_specialist,drift_stabilizer,cost_saver,drift_stabilizer,specialization_promoter,RotatedMNIST,4,1,0.29016477051897926,0.559948835798045,0.5234075399151786,0.5205772712950277,0.5441774823084808,4
RotatedMNIST_seed1_task5,accuracy_specialist,drift_stabilizer,cost_saver,drift_stabilizer,specialization_promoter,RotatedMNIST,5,1,0.35676060850946123,0.7002950742487211,0.5671393659994899,0.568213593706577,0.49832062388410486,4
